OUTPUT,OVER_HEAD_SHOWER,,,,HEAD_SHOWER,,,SPAUT,,,CONTROLLER,,,,,,VALVE,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MLR0231,L,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MLR0331,L,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MLR0431,L,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,handle,2YH-1,MGR9940,G,Round,R,VGR13,,◯,
2,Y,Z,Square,S,L,Round,R,,,,handle,2YH-1,MGS9940,G,Square,S,VGS13,,,
2,Y,Z,Square,S,L,Round,R,,,,handle,2YH-2,MGR9942,G,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,handle,2YH-2,MGS9942,G,Square,S,VGS02,,,
2,Y,Z,Square,S,L,Round,R,,,,switch,2YS-1,MGS9943,G,Square,S,VGS23,,◯,
2,Y,Z,Square,S,L,Round,R,,,,switch,2YS-2,MGS9941B,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MZS0232,Z,Square,S,VGS02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGR1132,G,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGR0132,G,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGR0332,G,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGS0732,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？（OHS/HS形状統一の考え方？）
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGS0832,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？（OHS/HS形状統一の考え方？）
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGS0932,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？（OHS/HS形状統一の考え方？）
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGS1032,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？（OHS/HS形状統一の考え方？）
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGS0432,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？（OHS/HS形状統一の考え方？）
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MGS0232,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？（OHS/HS形状統一の考え方？）
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MLR0132,L,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MLR0232,L,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MLR0332,L,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-1,MLR0432,L,Round,R,VGR02,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MZS0231,Z,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGR1131,G,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGR0131,G,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGR0331,G,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGS0731,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGS0831,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGS0931,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGS1031,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGS0431,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MGS0231,G,Square,S,VGS03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MLR0131,L,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MLR0231,L,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MLR0331,L,Round,R,VGR03,,,
2,Y,Z,Square,S,L,Round,R,,,,lever,2YL-2,MLR0431,L,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,handle,2YH-1,MGR9940,G,Round,R,VGR13,,,
2,Y,Z,Square,S,G,Square,S,,,,handle,2YH-1,MGS9940,G,Square,S,VGS13,,◯,
2,Y,Z,Square,S,G,Square,S,,,,handle,2YH-2,MGR9942,G,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Square,S,,,,handle,2YH-2,MGS9942,G,Square,S,VGS02,,,
2,Y,Z,Square,S,G,Square,S,,,,switch,2YS-1,MGS9943,G,Square,S,VGS23,,◯,
2,Y,Z,Square,S,G,Square,S,,,,switch,2YS-2,MGS9941B,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MZS0232,Z,Square,S,VGS02,,,〇
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGR1132,G,Round,R,VGR02,,,↑
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGR0132,G,Round,R,VGR02,,,↑
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGR0332,G,Round,R,VGR02,,,↑
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGS0732,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGS0832,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGS0932,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGS1032,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGS0432,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MGS0232,G,Square,S,VGS02,,◯,RECOMMENDをZにするべきか？
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MLR0132,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MLR0232,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MLR0332,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-1,MLR0432,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MZS0231,Z,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGR1131,G,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGR0131,G,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGR0331,G,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGS0731,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGS0831,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGS0931,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGS1031,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGS0431,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MGS0231,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MLR0131,L,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MLR0231,L,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MLR0331,L,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Square,S,,,,lever,2YL-2,MLR0431,L,Round,R,VGR03,,,
2,N,G,Round,R,G,Round,R,,,,handle,2NH-1,MGR9942,G,Round,R,,,◯,
2,N,G,Round,R,G,Round,R,,,,handle,2NH-1,MGS9942,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,handle,2NH-2,MGR9940,G,Round,R,VGR01,VGR01,,
2,N,G,Round,R,G,Round,R,,,,handle,2NH-2,MGS9940,G,Square,S,VGS01,VGS01,,
2,N,G,Round,R,G,Round,R,,,,handle,2NH-3,MGR9940,G,Round,R,VGR01,VGR02,,
2,N,G,Round,R,G,Round,R,,,,handle,2NH-3,MGS9940,G,Square,S,VGS01,VGS02,,
2,N,G,Round,R,G,Round,R,,,,switch,2NS-1,MGS9942B,G,Square,S,,,◯,
2,N,G,Round,R,G,Round,R,,,,switch,2NS-2,MGS9941B,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MZS0232,Z,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGR1132,G,Round,R,,,◯,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGR0132,G,Round,R,,,◯,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGR0332,G,Round,R,,,◯,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGS0732,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGS0832,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGS0932,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGS1032,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGS0432,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MGS0232,G,Square,S,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MLR0132,L,Round,R,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MLR0232,L,Round,R,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MLR0332,L,Round,R,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-1,MLR0432,L,Round,R,,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MZS0231,Z,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGR1131,G,Round,R,VGR02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGR0131,G,Round,R,VGR02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGR0331,G,Round,R,VGR02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGS0731,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGS0831,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGS0931,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGS1031,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGS0431,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MGS0231,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MLR0131,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MLR0231,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MLR0331,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Round,R,,,,lever,2NL-2,MLR0431,L,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,handle,2NH-1,MGR9942,G,Round,R,,,◯,
2,N,G,Round,R,L,Round,R,,,,handle,2NH-1,MGS9942,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,handle,2NH-2,MGR9940,G,Round,R,VGR01,VGR01,,
2,N,G,Round,R,L,Round,R,,,,handle,2NH-2,MGS9940,G,Square,S,VGS01,VGS01,,
2,N,G,Round,R,L,Round,R,,,,handle,2NH-3,MGR9940,G,Round,R,VGR01,VGR02,,
2,N,G,Round,R,L,Round,R,,,,handle,2NH-3,MGS9940,G,Square,S,VGS01,VGS02,,
2,N,G,Round,R,L,Round,R,,,,switch,2NS-1,MGS9942B,G,Square,S,,,◯,
2,N,G,Round,R,L,Round,R,,,,switch,2NS-2,MGS9941B,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MZS0232,Z,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGR1132,G,Round,R,,,◯,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGR0132,G,Round,R,,,◯,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGR0332,G,Round,R,,,◯,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGS0732,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGS0832,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGS0932,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGS1032,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGS0432,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MGS0232,G,Square,S,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MLR0132,L,Round,R,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MLR0232,L,Round,R,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MLR0332,L,Round,R,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-1,MLR0432,L,Round,R,,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MZS0231,Z,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGR1131,G,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGR0131,G,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGR0331,G,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGS0731,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGS0831,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGS0931,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGS1031,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGS0431,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MGS0231,G,Square,S,VGS02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MLR0131,L,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MLR0231,L,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MLR0331,L,Round,R,VGR02,,,
2,N,G,Round,R,L,Round,R,,,,lever,2NL-2,MLR0431,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,handle,2NH-1,MGR9942,G,Round,R,,,◯,
2,N,G,Round,R,G,Square,S,,,,handle,2NH-1,MGS9942,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,handle,2NH-2,MGR9940,G,Round,R,VGR01,VGR01,,
2,N,G,Round,R,G,Square,S,,,,handle,2NH-2,MGS9940,G,Square,S,VGS01,VGS01,,
2,N,G,Round,R,G,Square,S,,,,handle,2NH-3,MGR9940,G,Round,R,VGR01,VGR02,,
2,N,G,Round,R,G,Square,S,,,,handle,2NH-3,MGS9940,G,Square,S,VGS01,VGS02,,
2,N,G,Round,R,G,Square,S,,,,switch,2NS-1,MGS9942B,G,Square,S,,,◯,
2,N,G,Round,R,G,Square,S,,,,switch,2NS-2,MGS9941B,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MZS0232,Z,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGR1132,G,Round,R,,,◯,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGR0132,G,Round,R,,,◯,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGR0332,G,Round,R,,,◯,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGS0732,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGS0832,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGS0932,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGS1032,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGS0432,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MGS0232,G,Square,S,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MLR0132,L,Round,R,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MLR0232,L,Round,R,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MLR0332,L,Round,R,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-1,MLR0432,L,Round,R,,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MZS0231,Z,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGR1131,G,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGR0131,G,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGR0331,G,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGS0731,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGS0831,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGS0931,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGS1031,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGS0431,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MGS0231,G,Square,S,VGS02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MLR0131,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MLR0231,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MLR0331,L,Round,R,VGR02,,,
2,N,G,Round,R,G,Square,S,,,,lever,2NL-2,MLR0431,L,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,handle,2NH-1,MGR9942,G,Round,R,,,◯,
2,N,L,Round,R,G,Round,R,,,,handle,2NH-1,MGS9942,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,handle,2NH-2,MGR9940,G,Round,R,VGR01,VGR01,,
2,N,L,Round,R,G,Round,R,,,,handle,2NH-2,MGS9940,G,Square,S,VGS01,VGS01,,
2,N,L,Round,R,G,Round,R,,,,handle,2NH-3,MGR9940,G,Round,R,VGR01,VGR02,,
2,N,L,Round,R,G,Round,R,,,,handle,2NH-3,MGS9940,G,Square,S,VGS01,VGS02,,
2,N,L,Round,R,G,Round,R,,,,switch,2NS-1,MGS9942B,G,Square,S,,,◯,
2,N,L,Round,R,G,Round,R,,,,switch,2NS-2,MGS9941B,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MZS0232,Z,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGR1132,G,Round,R,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGR0132,G,Round,R,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGR0332,G,Round,R,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGS0732,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGS0832,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGS0932,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGS1032,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGS0432,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MGS0232,G,Square,S,,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MLR0132,L,Round,R,,,◯,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MLR0232,L,Round,R,,,◯,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MLR0332,L,Round,R,,,◯,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-1,MLR0432,L,Round,R,,,◯,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MZS0231,Z,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGR1131,G,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGR0131,G,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGR0331,G,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGS0731,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGS0831,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGS0931,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGS1031,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGS0431,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MGS0231,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MLR0131,L,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MLR0231,L,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MLR0331,L,Round,R,VGR02,,,
2,N,L,Round,R,G,Round,R,,,,lever,2NL-2,MLR0431,L,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,handle,2NH-1,MGR9942,G,Round,R,,,◯,
2,N,L,Round,R,L,Round,R,,,,handle,2NH-1,MGS9942,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,handle,2NH-2,MGR9940,G,Round,R,VGR01,VGR01,,
2,N,L,Round,R,L,Round,R,,,,handle,2NH-2,MGS9940,G,Square,S,VGS01,VGS01,,
2,N,L,Round,R,L,Round,R,,,,handle,2NH-3,MGR9940,G,Round,R,VGR01,VGR02,,
2,N,L,Round,R,L,Round,R,,,,handle,2NH-3,MGS9940,G,Square,S,VGS01,VGS02,,
2,N,L,Round,R,L,Round,R,,,,switch,2NS-1,MGS9942B,G,Square,S,,,◯,
2,N,L,Round,R,L,Round,R,,,,switch,2NS-2,MGS9941B,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MZS0232,Z,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGR1132,G,Round,R,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGR0132,G,Round,R,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGR0332,G,Round,R,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGS0732,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGS0832,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGS0932,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGS1032,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGS0432,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MGS0232,G,Square,S,,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MLR0132,L,Round,R,,,◯,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MLR0232,L,Round,R,,,◯,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MLR0332,L,Round,R,,,◯,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-1,MLR0432,L,Round,R,,,◯,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MZS0231,Z,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGR1131,G,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGR0131,G,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGR0331,G,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGS0731,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGS0831,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGS0931,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGS1031,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGS0431,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MGS0231,G,Square,S,VGS02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MLR0131,L,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MLR0231,L,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MLR0331,L,Round,R,VGR02,,,
2,N,L,Round,R,L,Round,R,,,,lever,2NL-2,MLR0431,L,Round,R,VGR02,,,
2,N,L,Round,R,G,Square,S,,,,handle,2NH-1,MGR9942,G,Round,R,,,◯,
2,N,L,Round,R,G,Square,S,,,,handle,2NH-1,MGS9942,G,Square,S,,,,
2,N,L,Round,R,G,Square,S,,,,handle,2NH-2,MGR9940,G,Round,R,VGR01,VGR01,,
2,N,L,Round,R,G,Square,S,,,,handle,2NH-2,MGS9940,G,Square,S,VGS01,VGS01,,
2,N,L,Round,R,G,Square,S,,,,handle,2NH-3,MGR9940,G,Round,R,VGR01,VGR02,,
2,N,L,Round,R,G,Square,S,,,,handle,2NH-3,MGS9940,G,Square,S,VGS01,VGS02,,
2,N,L,Round,R,G,Square,S,,,,switch,2NS-1,MGS9942B,G,Square,S,,,◯,
2,N,L,Round,R,G,Square,S,,,,switch,2NS-2,MGS9941B,G,Square,S,VGS02,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MZS0232,Z,Square,S,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGR1132,G,Round,R,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGR0132,G,Round,R,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGR0332,G,Round,R,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGS0732,G,Square,S,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGS0832,G,Square,S,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGS0932,G,Square,S,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGS1032,G,Square,S,,,,
2,N,L,Round,R,G,Square,S,,,,lever,2NL-1,MGS0432,G,Square,S,,,,
